Кому посвящена;ФИО_Стандарт;Адрес;Текст надписи;Даты/Авторы;Категория ГИС;URL_Высокая;y;x
Виссарион Михайлович Саянов;Саянов В.М.;Чебоксарский пер., 2/9;«В этом доме с 1934 по 1959 г. жил писатель Виссарион Михайлович Саянов»;1960, Арх. Васильковский В.С.;Мемориальная;;59.9378258;30.32601
Михаил Михайлович Зощенко;Зощенко М.М.;Грибоедова канала наб., 9.;«В этом доме в 1934–1958 годах жил и работал писатель Михаил Михайлович Зощенко»;1994, Арх. Милорадович Т. Н., Соколов Н. А., скульптор Горевой В. Э.;Мемориальная;https://encspb.ru/image/2805551844/1;59.9378374;30.3269623
Всеволод Александрович Рождественский;Рождественский В.А.;Грибоедова канала наб., 9;«В этом доме в 1949–1977 годах жил и работал Всеволод Александрович Рождественский»;1992. Арх. Милорадович Т. Н.;Мемориальная;;59.93852;30.3272526
Шевченко Т. Г.;Шевченко Т.Г.;В.О., 5-я линия, 8;«В этом доме 1840–1844 гг. жил великий украинский поэт, революционер-демократ Тарас Григорьевич Шевченко. Здесь им созданы поэмы “Сон” и “Гайдамаки»;1964, Арх. Попов В. Д.;Мемориальная;;59.9385686;30.2870269
Александр Петрович Сумароков;Сумароков А.П.;В.О., 9-я линия, 14. (Ф-252);«На этом месте находился дом, в котором в 1765–1769 годах жил писатель, поэт, театральный деятель России Александр Петрович Сумароков»;1992 год, Архитектор Петров В.А., скульптор Кубанова Н. В.;Мемориальная;https://encspb.ru/image/2805555089/1;59.9387631;30.2799941
Николай Гумилев (исследователь);Гумилев Н.С.;В.О., 5-я линия, 10.;«Здесь жил Николай Гумилев»;1988, Мрамор;Мемориальная;https://encspb.ru/image/2805553966/1;59.9388779;30.2866654
Иван Сергеевич Тургенев;Тургенев И.С.; Большая Конюшенная ул., 13;«В этом доме с 1858 г. по 1860 г. жил великий русский писатель Иван Сергеевич Тургенев»;1969 год, Арх. Попов В.Д.;Мемориальная;;59.9394952;30.3235812
Добролюбову Н. А.;Добролюбов Н.А.;Литейный проспект, 36 (Ф-177);«В этом доме с конца августа 1858 года до июня 1859 года жил великий русский революционный демократ Николай Александрович Добролюбов»;1955 – первоначально установлена. 2006 – возобновлена. Мрамор.;Мемориальная;;59.9395379;30.3486641
Николай Алексеевич Некрасов;Некрасов Н.А.;Литейный проспект, 36;«Николай Алексеевич Некрасов жил 20 лет в этом доме и скончался 27-го декабря 1877 года»;1950, Арх. Хусид Р. Е. Мрамор;Мемориальная;;59.9395992;30.3486695
Александр Блоку А. А.;Блок А. А.;Университетская наб., 7. С.-Петербургский Государственный университет. Ректорский корпус. (Ф-154);«В этом доме 16 (28) ноября 1880 года родился Александр Блок»;1974. Арх. Милорадович Т. Н.;Мемориальная;https://encspb.ru/image/2805549733/1;59.9400029;30.2996888
Иван Андреевич Крылов;Крылов И.А.;В.О., 1-я линия, 8;«В этом доме с 1841 г. жил в 1844 г. умер великий русский баснописец Иван Андреевич Крылов»;1955 г. Авторы: Арх. Егоров М. Ф.;Мемориальная;https://p3.citywalls.ru/photo_394-404371.jpg?mt=1563360404;59.9400335;30.2920701
Константин Александрович Федин;Федин К.А.;Литейный проспект, 33.;«В этом доме с 1922 по 1937 год жил и работал Герой Социалистического Труда, писатель Константин Александрович Федин»;1981. Арх. Милорадович Т. Н., скульптор Додонова Г. В.;Мемориальная;https://encspb.ru/image/2805555513/1;59.9411393;30.3481724
А.С. Пушкину;Пушкин А.С.;Набережная реки Мойки, 12.;«В этом доме 29 января 1837 года скончался Александр Сергеевич Пушкин»;1880. Арх. Бенуа Н. Л., мастер И. М. Руфиони. Возобновлена: 1935-1936.;Мемориальная;;59.9412759;30.3211261
А.С. Пушкину;Пушкин А.С.;Конюшенная площадь, 1А;«В этом храме 1 февраля 1837 года по Высочайшему повелению Государя Императора Николая Павловича было совершено отпевание Александра Сергеевича Пушкина»;-;Мемориальная;;59.9413262;30.3263144
Николай Николаевич Никитин;Никитин Н.Н.;Моховая ул., 28;«В этом доме с 1927 по 1963 гг. жил и работал писатель Николай Николаевич Никитин»;1970, Арх. Гепнер Ф. А.;Мемориальная;https://encspb.ru/image/2805545204/1;59.9415791;30.3454259
Владимир Васильевич Стасов;Стасов В.В.;Моховая ул., 26.;«В этом доме с 1854 по 1873 г. жил и работал выдающийся русский художественный критик Владимир Васильевич Стасов»;1955, Мрамор.;Мемориальная;https://encspb.ru/image/2805552866/1;59.9420355;30.3454627
Леонид Николаевич Рахманов;Рахманов Л.Н.;Марсово поле, 7.;«В этом доме с 1950 по 1988 год жил писатель Леонид Николаевич Рахманов»;1998, Арх. Васильковский В. С.;Мемориальная;;59.9420992;30.3298916
Коста Леванович Хетагуров;Хетагуров К.Л.;Набережная реки Моики, 17/18;«В этом доме жил основоположник осетинского литературного языка, выдающийся поэт и художник, революционный демократ Коста Леванович Хетагуров»;1967, Арх. Попов В. Д.;Биографическая;;59.9422905;30.323166
Юрию Павловичу Герману;Герман Ю.П.;Марсово поле, 7;«В этом доме с 1948 по 1967 год жил выдающийся советский писатель Юрий Павлович Герман»;1968. Арх. Милорадович Т. Н. Гранит;Мемориальная;https://encspb.ru/image/2805551046/1;59.9424278;30.3296386
Вера Федоровна Панова;Панова В.Ф.;Марсово поле, 7;«Здесь с 1948 года по 1970 год жила и работала писательница Вера Федоровна Панова»;1986 год, Арх. Милорадович Т. Н.;Биографическая;https://encspb.ru/image/2805553485/1;59.9424747;30.3296018
Бродскому И. А.;Бродский И.А.;Литейный проспект, 24. (Ф-155);«В этом доме с 1955 по 1972 год жил поэт Иосиф Александрович Бродский»;1996. Арх. Милорадович Т. Н., скульптор Лазарев Л. К. Гранит, бронза.;Мемориальная;https://encspb.ru/image/2805549853/1;59.9426117;30.3488126
;Маршак С. Я.;Литейный проспект, 21;"""В этом доме с 1927 по 1938 год жил и работал выдающийся советский писатель Самуил Яковлевич Маршак""";;Мемориальная;;59.9429349;30.3482038
Корней Иванович Чуковский;Чуковский К.И.;Манежный пер., 6. (Ф-270);«В этом доме с 1919 по 1938 год жил и работал писатель Корней Иванович Чуковский»;1983. Арх. Бухаев В. Б. Гранит.;Мемориальная;https://encspb.ru/image/2805559235/1;59.9433367;30.3537877
Николай Семенович Лесков;Лесков Н.С.;Фурштатская ул., 50;«В этом доме с 1889 по 1895 год жил и работал выдающийся русский писатель Николай Семенович Лесков»;1981, Арх. Питаев В. Л.;Мемориальная;https://encspb.ru/image/2805552956/1;59.9452776;30.3640204
Николай Васильевич Шелгунов;Шелгунов Н.В.;Чернышевского проспект, 13;«В этом доме жил и в 1891 году умер русский революционный демократ и публицист Николай Васильевич Шелгунов»;1968, Арх. Попов В. Д.;Мемориальная;;59.9456494;30.3590103
Янка Купала;Купала Я.;В.О., 4-я линия, 45;«В этом доме с 1909–1913 гг. жил народный поэт Белоруссии Янка Купала (Иван Доминикович Луцевич)»;1955 (первоначально), 1993 (возобновлена), Мрамор;Мемориальная;https://encspb.ru/image/2805552756/1;59.9460587;30.2788893
Вячеслав Иванов;Иванов В.И.;Таврическая ул., 35;«В этом доме, на “башне” Вячеслава Иванова, в 1905–1912 годах собирались деятели русской культуры, поэты, философы, художники.»;1994 год, Гранит, дар города Невесель (Франция);Мемориальная;;59.9467560;30.3784394
